# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
ሰበረ	ሰብሯል	ይስበር	ይሰብራል	ይሰበር	ስበር	ሰብሮ	መስበር	ሰባሪ	break	t
ስበሰበ	ሰብስቧል	ይሰበስብ	ይሰበስባል	ይሰብስብ 	ስብስብ 	ስብስቦ	መሰብሰብ 	ሰብሳቢ	collect	t
ሰባበረ	ሰባብሯል	ይሰባብር	ይሰባብራል	ይሰባብር	ሰባብር	ሰባብሮ	መሰባበር	ሰባባሪ	shatter	t
ሳተ	ስቷል	ይስት	ይስታል	ይሳት	ሳት	ስቶ	መሳት	ሳች	miss	t
ሰነበተ	ሰንብቷል	ይሰንብት	ይሰነብታል	ይሰንብት	ሰንብት	ስንብቶ	መሰንበት	ሰንባች	remain	i
ሰነጠቀ	ሰንጥቋል	ይሰነጥቅ	ይሰነጥቃል	ይሰንጥቅ	ስንጥቅ	ሰንጥቆ	መሰንጠቅ	ሰንጣቂ	split	t
ሰከረ	ሰክሯል	ይሰክር	ይሰክራል	ይስከር	ሰከር	ሰክሮ	መስከር	ሰካሪ	be intoxicated	i
ሰወረ	ሰውሯል	ይሰውር	ይሰውራል	ይሰውር	ስውር	ሰውሮ	መሰወር	ሰዋሪ	hide	t
ሰደበ	ሰድቧል	ይሰድብ	ይሰድባል	ይስደብ	ስድብ	ሰድቦ 	መስደብ	ሰዳቢ	abuse	t
ሰደደ	ሰዷል	ይሰድ	ይሰዳል	ይስደድ	ስደድ	ሰዶ	መስደድ	ሰዳጅ	send	t
ሰጋ	ሰግቷል	ይሰጋ	ይሰጋል	ይስጋ	ስጋ	ሰግቶ	መስጋት	ሰጊ	be afraid	i
ሠገረ	ሠግሯል	ይሠግር	ይሠግራል	ይሥገር		ሠግሮ	መሥገር	ሠጋሪ	able	i
ሰገደ	ሰግዷል	ይሰግድ	ይሰግዳል	ይስገድ	ሰገድ	ሰግዶ	መስገድ	ሰጋጅ	adore	t
ሰጠ 2nd ሰጠህ	ሰጥቷል	ይስጥ	ይሰጣል	ይስጥ	ስጥ	ስጥቶ	መስጠት	ሰጭ	give   	t
ሰፋ	ስፍቷል	ይሰፋ	ይሰፋል	ይስፋ	ሰፋ	ሰፍቶ	መስፋት	ሰፊ	(a)sew,(b)be broad	t,i
ሰፈረ	ስፍሯል	ይሰፍር	ይሰፍራል	ይስፈር	ሰፈር	ሰፍሮ	መስፈር	ሰፋሪ	measure,encamp	t,i
እሻ	እሽቷል	ይሻ	ይሻል	ይሻ	እሻ	እሽቶ	መሻት			
ሾመ	ሹሟል	ይሾም	ይሾማል	ይሹም	ሹም	ሹሞ	መሾም	ሿሚ	set in authority	t
ሸሸ 2nd ሸህ	ሸሽቷል	ይሽሽ	ይሸሻል	ይሽሽ	ሽሽ	ሸሽቶ	መሸሽ	ሸሺ	flee from	t
ሸሸገ	ሸሽጓል	ይሸሽግ	ይሸሽጋል	ይሸሽግ	ሽሽግ	ሽሽጎ	መሸሸግ	ሸሻጊ	hide	t
