# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
ጨለመ	ይጨልማል	ጨልሞ	ይጨልም	መጨለም	ጨላሚ	be dark	አ	ጨለ፟መ		i	2
ጨለጠ	ይጨልጣል	ጨልጦ	ይጨልጥ	መጨለጥ	ጨላጭ	drank to the last drop, empty	አስ	ጨለ፟ጠ		t	2
ጨለፈ	ይጨልፋል	ጨልፎ	ይጨልፍ	መጨለፍ	ጨላፊ	ladle out	ተ	ጨለ፟ፈ		t	2
ጨመረ	ይጨምራል	ጨምሮ	ይጨመር	መጨመር	ጨማሪ	increase	ተ	ጨመ፟ረ		t	2
ጨመቀ	ይጨምቃል	ጨምቆ	ይጭመቅ	መጭመቅ	ጨማቂ	squeeze	ተ			t	1
ጨመተ	ይጨምታል	ጨምቶ	ይጨምት	መጨመት	ጭምት	be calm	i	ጨመ፟ተ		i	2
ጨመደደ	ይጨመድዳል	ጨምድዶ	ይጨምድድ	መጨምደድ	ጨምዳጅ	crease, wrinkle	ተ			t	9
ጨረሰ	ይጨርሳል	ጨርሶ	ይጨርስ	መጨረስ	ጨራሽ	finish	ተ	ጨረ፟ሰ		t	2
ጨሰ	ይጨሳል	ጨሶ	ይጭስ	መጨስ	ጨሺ	smoke		ጨʸሰ			8y
ጨቀ	ይጨቀያል	ጨቅይቶ	ይጨቀይ	መጨቅየት	ጭቃ	be muddy	አስ			i	8w
ጨቀየ	ይጨቀያል	ጨቅይቶ	ይጨቀይ	መጨቅየት	ጭቃ	be muddy	አ	ጨቀየህ		i, denom	11
ጨቀጨቀ	ይጨቀጭቃል	ጨቅጭቆ	ይጨቅጭቅ	መጨቅጨቅ	ጨቅጫቂ	nag, pester, get into an argument	ተ			t	9
ጨቆነ	ይጨቁናል	ጨቁኖ	ይጨቁን	መጨቆን	ጨቋኝ	suppress, oppress	ተ	ጨቆ፟ነ		i	2c
ጨበጠ	ይጨብጣል	ጨብጦ	ይጨብጥ	መጨበጥ	ጨባጭ	grasp, seize	ተ	ጨበ፟ጠ		t	2
ጨነቀ	ይጨንቃል	ጨንቆ	ይጭነቅ	መጭነቅ	ጨናቂ	worry	ተ			opt. imp. 	1
ጨነገፈ	ይጨነግፋል	ጨንግፎ	ይጨንግፍ	መጨንገፍ	ጨንጋፊ	abort, go wrong	አ			i	9
ጨከነ	ይጨክናል	ጨክኖ	ይጨክን	መጨከን	ጨካኝ	be cruel	አስ	ጨከ፟ነ		i	2
ጨፈለቀ	ይጨፈልቃል	ጨፍልቆ	ይጨፍልቅ	መጨፍለቅ	ጨፍላቂ	smash, crush	ተ			t	9
ጨፈረ	ይጨፍራል	ጨፍሮ	ይጨፍር	መጨፈር	ጨፋሪ	dance	ተ	ጨፈ፟ረ		i	2
ጨፈነ	ይጨፍናል	ጨፍኖ	ይጨፍን	መጨፈን	ጨፋኝ	blindfold	አስ	ጨፈ፟ነ		i	2
ጨፈጨፈ	ይጨፈጭፋል	ጨፍጭፎ	ይጨፍጭፍ	መጨፍጨፍ	ጨፍጫፊ	slash, massacre	ተ			t	9
ጫረ	ይጭራል	ጭሮ	ይጫር	መጫር	ጫሪ	scratch	ተ	ጫህረ		t	7
ጫነ	ይጭናል	ጭኖ	ይጫን	መጫን	ጫኚ	load, saddle	ተ	ጫህነ		t 	7
ጫጨ	ይጫጫል	ጫጭቶ	ይጫጫ	መጫጫት	ጫጪ	lag, develop slowly	አስ	ጫህጨህ		i	3h
ጮለ	ያጮላል	አጩሎ	ያጩል	መጮል	ጮሌ	be witty, make a slapping sound	አ			i	8w
ጮመ	ይጮማል	ጮሞ	ይጩም	መጮም	ጮማ	be fatty, greasy	አ			i	8w
ጮመየ	4	4	4	4	ጮማ	be fat, heavy	አስ	ጮመየህ		i, denom	11b
ጮበየ	4	4	4	4	ጮቢ	jump, leap		ጮበየህ			11b
ጮኸ	ይጮኻል	ጮኾ	ይጩህ	መጮህ	ጯሂ	cry, shout	አ 			i	8w
ጸለየ	ይጸልያል	ጸልዮ	ይጸልይ	መጸለይ	ጸላይ	pray	አስ	ጸለ፟የ	ጠለ፟የ	i	2
ጸረረ	ይጸርራል	ጸርሮ	ይጸርር	መጸረር	ጸራሪ	be antagonistic 				i	1f
ጸነሰ	ይጽጸንሳል	ጸንሶ	ይጸንስ	መጸነስ	ጸናሽ	become pregnant	ተ			t	1
ጸና	ይጸናል	ጸንቶ	ይጽና	መጽናት	ጽኑ	be strong		ጸናህ	ጠና	i	3
ጸደቀ	ይጸድቃል	ጸድቆ	ይጽደቅ	መጽደቅ	ጸዳቂ	be just	አ			i	1
ጸዳ	ይጸዳል	ጽድቶ	ይጽዳ	መጽዳት	ጸጂ	be neat	አ	ጸዳህ	ጠዳ		3
ጸጸተ	ይጸጸታል	ተጸጽቶ	ይጸጸት	መጸጸት	ተጸጻች	regret	ተ	ጸጸ፟ተ	ጠጠ፟ተ	imp.	2
ጻፈ	ይጽፋል	ጽፎ	ይጻፍ	መጻፍ	ጸሃፊ	write	ተ	ጻህፈ	ጣፈ	t	7
ጾመ	ይጾማል	ጾመ	ይጹም	መጾም	ጿሚ	fast	አስ		ጦመ	i	8w
ፈለሰ	ይፈልሳል	ፈልሶ	ይፍለስ	መፍለስ	ፈላሺ	migrate	አስ			i	1
ፈለሰፈ	ይፈለስፋል	ፈልስፎ	ይፈልስፍ	መፈልሰፍ	ፈልሳፊ	invent	ተ		ፈለሰመ	denom, fr	9
ፈለቀ	ይፈልቃል	ፈልቆ	ይፍለቅ	መፍለቅ	ፈላቂ	gush	አ			i	1
ፈለቀቀ	ይፈለቅቃል	ፈልቅቆ	ይፈልቅቅ	መለልቀቅ	ፈልቃቂ	force open, thin out	ተ			t	9
ፈለገ	ይፈልጋል	ፈልጎ	ይፈልግ	መፈለግ	ፈላጊ	seek, want	ተ	ፈለ፟ገ		t	2
ፈለጠ	ይፈለጣል	ፈልጦ	ይፍለጥ	መፍለጥ	ፈላጪ	split	ተ			t	1
ፈለፈለ	ይፈለፍላል	ፈልፍሎ	ይፈልፍል	መፈልፈል	ፈልፋይ	peal, scoop	ተ			t	9
ፈላ	ይፈላል	ፈልቶ	ይፍላ	መፍላት	ፈይ	boil, ferment	አ, ተ	ፈላህ		i	3
ፈረመ	ይፈርማል	ፈርሞ	ይፈርም	መፈረም	ፈራሚ	sign	ተ	ፈረ፟መ		t (denom. Ital.)	2
ፈረሰ	ይፈርሳል	ፈርሶ	ይፍረስ	መፍረስ	ፈራሺ	be ruined	አ			i	1
ፈረከስሰ	ይፈረክስሳል	ፈርክስሶ	ይፈርክስስ	መፈርከስስ	ፈርካሽ	crack nuts	ተ			t	9
ፈረደ	ይፈርዳል	ፈርዶ	ይፍረድ	መፍረድ	ፈራጂ	judge	ተ			i	1
ፈረጠ	ይፈርጣል	ፈርጦ	ይፍረጥ	መፍረጥ	ፈራጭ	burst	አ			i	1
ፈረፈረ	ይፈረፍራል	ፈርፍሮ	ይፈርፍር	መፈርፈር	ፈርፋሪ	break into small pieces	ተ			t	9
ፈራ	ይፈራል	ፈርቶ	ይፍራ	መፍራት	ፈሪ	fear	ተ	ፈራህ		t	3
ፈሰሰ	ይፈስሳል	ፈሶ	ይፍሰስ	መፍሰስ	ፈሳሸ	flow, spill	አ			i	1f
ፈሳ	ይፈሳል	ፈስቶ	ይፍሳ	መፍሳት	ፈሺ	pass wind	አስ	ፈሳህ		i	3
ፈቀፈቀ	ይፈቀፍቃል	ፈቅፍቆ	ይፈቅፍቅ	መፈቅፈቅ	ፈቅፋቂ	scour, scrub	ተ			t	9
ፈተለ	ይፈተላል	ፈትሎ	ይፍተል	መፍተል	ፈታይ	spin	ተ			t	1
ፈተሸ	ይፈትሻል	ፈትሾ	ይፈትሽ	መፈተሽ	ፈታሽ	frisk, search	ተ	ፈተ፟ሸ		t	2
ፈተነ	ይፈትናል	ፈትኖ	ይፈትን	መፈተን	ፈታኝ	try, test	ተ	ፈተ፟ነ		t	2
ፈተገ	ይፈትጋል	ፈትጎ	ይፈትግ	መፈተግ	ፈታጊ	rub, hull	ተ	ፈተ፟ገ		t	2
ፈተፈተ	ይፈተፍታል	ፈትፍቶ	ይፈትፍት	መፈትፈት	ፈትፋች	crumble	ተ			t	9
ፈታ	ይፈታል	ፈትቶ	ይፍታ	መፍታት	ፈቺ	untie, divorce	ተ	ፈታህ		t	3
ፈነቀለ	ይፈነቅላል	ፈንቅሎ	ይፈንቅል	መፈንቀል	ፈንቃይ	pulled out	ተ				9
ፈነደቀ	ይፈነድቃል	ፈንድቆ	ይፈንድቅ	መፈንደቅ	ፈንዳቂ	be cheerful, exult	አስ			i	9
ፈነዳ	ይፈነዳል	ፈንድቶ	ይፈንዳ	መፈንዳት	ፈንጂ	burst	አ	ፈነዳህ		i	10
ፈነገለ	ይፈነግላል	ፈንግሎ	ይፈንግል	መፈንገል	ፈንጋይ	upset, over turn	ተ			t	9
ፈነጠቀ	ይፈነጥቃል	ፈንጥቆ	ይፈንጥቅ	መፈንጠቅ	ፈንጣቂ	project light, splash water	ተ			t	9
ፈነጠዘ	ይፈነጥዛል	ፈንጥዞ	ይፈንጥዝ	መፈንጠዝ	ፈንጣዢ	exult, revel	አ			i	9
ፈነጨ	ይፈነጫል	ፈንጭቶ	ይፈንጭ	መፈንጨት	ፈንጪ	gambol, prance	አ	ፈነጨህ		i	11
ፈካ	ይፈካል	ፈክቶ	ይፍካ	መፍካት	ፈኪ	alight, brighten	አስ	ፈካህ		i	3
ፈወሰ	ይፈውሳል	ፈውሶ	ይፈውስ	መፈወስ	ፈዋሽ	heal	ተ	ፈወ፟ሰ		t	2
ፈዘዘ	ይፈዝዛል	ፈዞ	ይፍዘዝ	መፍዘዝ	ፈዛዛ	stare	አ			i	1f
ፈጀ	ይፈጃል	ፈጅቶ	ይፍጅ	መፍጀት	ፈጂ	consume, burn up	አስ	ፈጀህ		t	5
ፈገገ	ይፈግጋል	ፈጎ	ይፍገግ	መፍገግ	ፈገግታ	smile	አ			i	1f
ፈገፈገ	ይፈገፍጋል	ፈግፍጎ	ይፈግፍግ	መፈግፈግ	ፈግፋጊ	rub	ተ			t	9
ፈጠረ	ይፈጥራል	ፈጥሮ	ይፍጠር	መፍጠር	ፈራሪ	create	ተ			t	1
ፈጠነ	ይፈጥናል	ፈጥኖ	ይፍጠን	መፍጠን	ፈጣኝ	hurry	አ			i	1
ፈጠጠ	ይፈጥጣል	ፈጦ	ይፍጠጥ	መፍጠጥ	ፈጣጭ	pop (eyes)	አ			i	1f
ፈጨ	ይፈጫል	ፈጭቶ	ይፍጭ	መፍጨት	ፈጪ	grind	ተ	ፈጨህ		t	5
ፈጸመ	ይፈጽማል	ፈጽሞ	ይፈጽም	መፈጸም	ፈጻሚ	complete accomplish	ተ	ፈጸ፟መ		t	2
ፋመ	ይፍማል	ፍሞ	ይፋም	መፋም	ፋሚ	become red-hot	አ	ፋህመ		i	7
ፋቀ	ይፍቃል	ፍቆ	ይፋቅ	መፋቅ	ፋቂ	scrape	ተ	ፋህቀ		t	7
ፋነነ	ይፋንናል	ፋኖ	ይፋንን	መፋነን	ፏናኝ	cut, split (nose)	ተ			t	1bf
ፋፋ	ይፋፋል	ፋፍቶ	ይፋፋ	መፋፋት	ፋፊ	develop, expand	አ	ፋህፋህ		i	3h
ፎከረ	ይፎክራል	ፎክሮ	ይፎክር	መፎከር	ፎካሪ	boast	አስ	ፎከ፟ረ	ፈከ፟ረ	i	2
