# Simple Perfect	Compound Imperfect	Gerund	Contingent	Infinitive	Participle	Gloss	Other Verb Forms	Theoretical Root	Equivalence	Part of Speech	Verb Class
አወገዘ	ያወግዛል	አውግዞ	ያውግዝ	ማውገዝ	አውጋዥ	excommunicate	አ, ተ	*ወገዘ		t	1
አዋየ	ይወያያል	ተወያይቶ	ይወያይ	መወያየት		exchange; consult		*ዋየህ		dup. 	5
አዘለ	ያዝላል	አዝሎ	ይዘል	ማዘል	አዛይ	carry on back shoulder	ተ	ሀዘለ		t	1a
አዘነ	ያዝናል	አዝኖ	ይዘን	ማዘን	አዛኝ	grieve	አስ	ሀዘነ		i	1a
አዘወተረ	ያዘወትራል	አዝወትሮ	ያዝወትር	ማዝወተር	አዝወታሪ	frequent (a place)	አ	*ዘወተረ		i	9
አዘዘ	ያዛል	አዝዞ	ይዘዝ	ማዘዝ	አዛዥ	order	ተ	ሀዘዘ		t	1af
አዛጋ						yawn	አተ	*ዛህጋህ		impers.	3h
አዜመ	ያዜማል	አዚሞ	ያዚም	ማዜም	አዚያሚ	chant, sing	አ	*ዜʸመ		i	8y
አዠ	ያዣል	አዥቶ	ያዥ	ማዠት	አዢ	ooze out	አስ	ሀዠ፟ህ		i	6a
አየ	ያያል	አይቶ	ይይ	ማየት	አዪ	see	ተ	ሀየህ		t	5a
