# Amharic Name	FULL_NAME	FULL_NAME_ND
	Ābol Bota	Abol Bota
	Ābolē	Abole
	Ābolē Shet’	Abole Shet'
	Ābol K’asīm Terara	Abol K'asim Terara
አቦምሳ	Abomsa	Abomsa
	Abonsa	Abonsa
አቦምሳ	Ābomsa	Abomsa
	Ābono	Abono
	Ābonsa Shet’	Abonsa Shet'
	Ābonsa Shet’	Abonsa Shet'
	Ābonyo	Abonyo
	Abon’	Abon'
	Ābora Komīs	Abora Komis
	Ābosa	Abosa
	Ābosera Bota	Abosera Bota
	Āboskul	Aboskul
	Aboskul’	Aboskul'
	Ābot	Abot
	Ābot	Abot
	Ābotē	Abote
	Ābotē	Abote
	Abolè	Abole
	Ābotē	Abote
	Abotie	Abotie
	Idabo	Idabo
	Ābotē	Abote
	Ābotē Shet’	Abote Shet'
	Āboy	Aboy
	Abracioc	Abracioc
	Monte Abracioc	Monte Abracioc
	Monte Abrecioc	Monte Abrecioc
አብርሃ አጽብሀ	Abraha Azba	Abraha Azba
	Ābrajīt	Abrajit
	Ābrajīt Shet’	Abrajit Shet'
	Ābram	Abram
	Ābrēt	Abret
	Ābrēt Mesgīd	Abret Mesgid
	Ābriba Shet’	Abriba Shet'
	Ābrīday	Abriday
	Ābriha	Abriha
አብርሃ ወአጽብሃ ቤተ ክርስቲያን	Ābriha We’āts’biha Bēte Kristīyan	Abriha We'ats'biha Bete Kristiyan
	Abroborifaghe	Abroborifaghe
	Aroberifaghe	Aroberifaghe
	Abscia	Abscia
	Ābt’at’e	Abt'at'e
	Ābu	Abu
	Ābu	Abu
	Ābu	Abu
	Ābu	Abu
	Ābu	Abu
	Ābu Botero	Abu Botero
	Abubecher	Abubecher
	Abucher	Abucher
	Abu Gemeiz	Abu Gemeiz
	Abu Gemmeiz	Abu Gemmeiz
	Abu Ghemmeiz	Abu Ghemmeiz
	Ābuko Shet’	Abuko Shet'
	Abul Casim	Abul Casim
አብዱል ቃሲም ተራራ	Mount Abul Casim	Mount Abul Casim
	Ābulē	Abule
	Abulg	Abulg
	Abuli	Abuli
	Ābulē	Abule
	Abu Macari	Abu Macari
	Ābu Maryam Bēte Kristīyan	Abu Maryam Bete Kristiyan
	Abu Meda	Abu Meda
	Abu Mendi	Abu Mendi
	Uogheni	Uogheni
	Vogheri	Vogheri
	Ābu Musa	Abu Musa
	Ābuna	Abuna
	Ābuna	Abuna
	Ābuna	Abuna
	Abuna Abiesghi	Abuna Abiesghi
	Ābuna Shet’	Abuna Shet'
	Ābuna Wenz	Abuna Wenz
	Ābuna Shet’	Abuna Shet'
	Pozzo Abuna Tacle Haimanot	Pozzo Abuna Tacle Haimanot
	Pozzo Abuna Teclaimanet	Pozzo Abuna Teclaimanet
	Abuna Teclaimanot	Abuna Teclaimanot
አቡነ አራጋይ	Ābune Āregay	Abune Aregay
	Abu Nesag	Abu Nesag
	Abu Nisag	Abu Nisag
አቡነ ዮሴፍ	Ābune Yosēf	Abune Yosef
አቡነ ዮሴፍ ተራራ	Monte Abuna Iosef	Monte Abuna Iosef
አቡነ ዮሴፍ	Abuna Josef	Abuna Josef
	Monte Abuna-Josef	Monte Abuna-Josef
	Mount Abuna Yosef	Mount Abuna Yosef
አቡነ ዮሴፍ	Ābune Yosēf	Abune Yosef
	Mount Abune Yosef	Mount Abune Yosef
	Gulī Ba Āmba	Guli Ba Amba
	Ābunī	Abuni
	Ābuno	Abuno
	Ābu Ramla	Abu Ramla
	Ābu Ramla	Abu Ramla
	Gara Abu Ramla	Gara Abu Ramla
	Jebel Abu Remla	Jebel Abu Remla
	Abu Remla Mountain	Abu Remla Mountain
	Ābusēra	Abusera
	Ābushulo	Abushulo
	Ābu Sīrba	Abu Sirba
	Abutalla	Abutalla
	Monte Abutalla	Monte Abutalla
	Ābuto	Abuto
	Ābutu	Abutu
	Ābuyē	Abuye
	Abuille	Abuille
	Abuliè	Abulie
	Ābuyē	Abuye
	Abuye Atir	Abuye Atir
	Abiye Meda	Abiye Meda
	Abuia Mieda	Abuia Mieda
	Monte Abuia Mieda	Monte Abuia Mieda
	Monte Abuya Myeda	Monte Abuya Myeda
አቡዬ ሜዳ	Ābuyē Mēda	Abuye Meda
አቡዬ ሜዳ ተራራ	Mount Abuye Meda	Mount Abuye Meda
