#Amharic Name	Latin Transcription	ASCII Transcription
ቀለመወርቅ እምሩ /አባ/	Qälämä-Wärq Emmeru	Keleme Werke Emeru
ቀለታ ኪዳኔ	Qäläta Kidané	Keletta Kidane
ቀና ማይጨው	Qänna Mayčäw	Kenna Maichew
ቀጂላ ዋጮ	Qäjéla Wačo	Kejela Wako
ቀጸላ ወልደ መድኅን	Qäşäla Wäldä-Mädhen	Kessela Wolde-Medhin
ቅጣው ይታጠቁ	Qetaw Yettatäqu	Kitaw Yitateku
ቆስጠንጢኖስ ባስልዮስ	Qostäntinos Baslyos	Kostentinos Baslios
በለጠ ምሕረቱ ተስፋዬ	Bällatä Mehrätu Täsfayé	Belete Mehiretu Tesfaye
በለጠ ገብሬ	Bällätä Gäbré	Belete Gebre
በለጠ ጉልማ	Bällätä Gulemma	Belete Gulma
በላይ ግደይ	Balay Gedäy	Belay Gidey
በረከተአብ ሀብተ ሥላሴ	Bäräkätab Habtä-Sellasé	Bereketeab Habte Selassie
በርሄ አርአያ	Bärhé Araya	Berhe Araya
በርሄ ወልደማርያም	Bärhé Wäldämaryam	Berhane Woldemariam 
በቀለ ሀብተ ሚካኤል /ብላታ/	Bäqqälä Habtä-Mikaél	Bekele Habtemichael
በቀለ ተገኝ	Bäqqälä Tägäň	Bekele Tegegn
በቀለ ታደሰ	Bäqqälä Taddäsä	Bekele Taddese
በቀለ አለሙ	Bäqqälä Alämu	Bekele Alemu
በትእዛዙ ወልደ ዮሐንስ	Bätezazu Wäldä-Yohannes	Betezazu Wolde Yohanis
በአሉ ግርማ	Bäalu Germa	Bealu Girma 
በእምነት ገብረ አምላክ	Bäemnät Gäbramlak	Beimnet Gebre Amlak
በኩረ ጽዮን ተስፋዬ	Bäkurä-Seyon Täsfayé	Bekure Tsion Tesfaye
በዛብህ ሠይፉ	Bäzzabbeh Säyfu	Bezabih Seifu
በየነ ማንያህልሃል	Bäyyänä Manyahlehal	Beyene Manyahlihal
በፈቃደ ሥላሴ ፋንታዬ	Bäfäqadä-Sellasé Fantayé	Befekade Selassie Fantaye
በፈቃዱ ኪዳኔ	Bäfäqadu Kidané	Befekdu Kidane
በፈቃዱ ዘገየ	Bäfäqadu Zägäyyä	Befekadu Zegaye
በፈቃዱ የተመኝ	Bäfäkadu Yätämäñ	Befekadu Yetemegn
በፈቃዱ ደረጀ	Bäfäkadu Däräjjä	Befekadu Dereje 
በፈቃዱ ደስታ	Bäfaqädu Dästa	Befekadu Desta 
ቢያዝን መኰንን	Biyazen Mäkwännen	Biazin Mekonin
ቢያድጉ ሽፈራው	Biyadgu Šefäraw	Biadgu Shiferaw
ባስሊኒ ፊሊፖ	Baslini, Filippo	Baslini, Filippo	Non-Ethiopian
ባስልዮስ	Baslyos	Baslyos
ቤተማርያም አሸኔ /አባ/	Bétämaryam Aššené	Betemariam Ashine
ቤካ ኔሞ	Béka Némo	Beka Nemmo
ብሬ የሻነህ	Berré Yäšanäh	Bire Yeshaneh
ብርሃነ መስቀል ባዕላይ	Berhanä-Mäsqäl Baelay	Berhane-Meskel Baelay
ብርሃነ መስቀል ዓንዶም	Berhanä-Mäsqäl Andom	Berhane-Meskel Andom
